CP_Hotellist;
Grouped by Tier, URI and Query;
;
URI;Query
/boka-resa;QueryDepID=2770&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180704&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C7%2C4&QueryUnits=1&selectedTransport=CgJWUxIDR09UGgNSSE8gCCoECISVAjICMzE6AUU%3D&firstDisplayed=CgJWUxIDR09UGgNSSE8gCCoECOiUAjICMzE6AUU%3D
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=108&QueryResID=0&QueryDepDate=20180502&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,5,2&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=183&QueryDepDate=20180517&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180613&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C7%2C10&QueryUnits=1&orderBy=LP&firstDisplayed=CgJWUxIDQVJOGgNMUEEgCCoECL6UAjICMzE6AUU%3D&selectedTransport=CgJWUxIDQVJOGgNDSFEgCCoECMCUAjICNDE6AUU%3D
/boka-resa;QueryDepID=11937&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180728&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2773&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180621&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,13&QueryUnits=0
/boka-resa;QueryDepID=2770&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180621&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C9%2C15&QueryUnits=1
/boka-resa;QueryDepID=2583&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180714&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180522&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C6%2C6%2C8&QueryUnits=0&orderBy=LP&selectedTransport=CgJWUxIDQVJOGgNQTUkgCCoECJKUAjICMjE6AUU%3D&firstDisplayed=CgJWUxIDQVJOGgNQTUkgCCoECJKUAjICMjE6AUU%3D
/boka-resa;QueryDepID=2769&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180812&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,6,13,15&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=108&QueryResID=0&QueryDepDate=20181210&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
